,slow(min),slow(time),greedy(min),greedy(time)
5,1,5.83E-06,1,8.62E-07
10,1,1.29E-05,1,2.46E-07
15,2,3.67E-05,2,2.05E-07
20,2,6.33E-05,2,2.05E-07
25,1,8.41E-05,1,1.64E-07
30,2,0.000132402,2,1.64E-07
35,2,0.000201086,2,1.64E-07
40,3,0.000270962,3,2.05E-07
45,3,0.000354673,3,2.05E-07
50,1,0.000483461,1,1.64E-07
55,2,0.00064842,2,1.64E-07
60,2,0.000840187,2,1.64E-07
65,3,0.001084463,3,2.05E-07
70,3,0.001371559,3,2.05E-07
75,2,0.001737029,2,1.64E-07
80,3,0.002126927,3,1.64E-07
85,3,0.002664909,3,2.05E-07
90,4,0.005091905,4,2.05E-07
95,4,0.00466358,4,2.05E-07
100,2,0.005560874,2,1.64E-07
105,3,0.0055502,3,1.64E-07
110,3,0.006521927,3,1.64E-07
115,4,0.007820531,4,2.05E-07
120,4,0.009161546,4,2.05E-07
125,3,0.010630241,3,1.64E-07
130,4,0.012303224,4,2.05E-07
135,4,0.014221223,4,1.64E-07
140,5,0.016467783,5,2.05E-07
145,5,0.018879631,5,2.46E-07
150,3,0.020954541,3,2.05E-07
155,4,0.027115062,4,2.05E-07
160,4,0.027243769,4,2.05E-07
165,5,0.030856921,5,2.05E-07
170,5,0.036942311,5,2.05E-07
175,4,0.039159025,4,1.64E-07
180,5,0.04440739,5,2.46E-07
185,5,0.049944124,5,2.05E-07
190,6,0.055868621,6,2.46E-07
195,6,0.063986102,6,2.05E-07
200,4,0.070042754,4,2.05E-07
205,5,0.081877913,5,1.64E-07
210,5,0.087559817,5,2.05E-07
215,6,0.100747198,6,2.46E-07
220,6,0.109578375,6,2.46E-07
225,5,0.114912011,5,2.05E-07
230,6,0.130795954,6,2.46E-07
235,6,0.183403304,6,2.46E-07
240,7,0.169289234,7,2.46E-07
245,7,0.16569546,7,2.46E-07
250,5,0.18292908,5,2.05E-07
